row_index,docket_no,link,trademark,status,reg_no,app_ser_no,first_use_date,goods,eu_reg_no,filing_date,registration_date,next_action,owner_breeder,party_selling,status_category,needs_review,needs_review_reasons,source_row
,,,City of San Francisco,,,,2025-11-01T00:00:00,,,,,,Tom Carruth,,,True,Missing status,261
,,,Crystalline,,,,2025-11-01T00:00:00,,,,,,Tom Carruth,,,True,Missing status,262
,,,Crescendo,Resgistered,,,,,,,Crescendo,,,,,True,Unrecognized status value: 'Resgistered'; Missing owner/breeder,263
,,,Ember Room,,,,2025-11-01T00:00:00,,,,,,Frank Gatto,,,True,Missing status,264
,,,Fine and Dandy,,,,2025-11-01T00:00:00,,,,,,Rippetoe,,,True,Missing status,265
,,,Fragrant Plum,,,,,,,,,,Tom Carruth,,,True,Missing status,266
,,,Halo,,,,2025-11-01T00:00:00,,,,,,Frank Gatto,,,True,Missing status,267
,,,In the Pink,,,,2025-11-01T00:00:00,,,,,,Mattia,,,True,Missing status,268
,,,Jeanne Moreau,,,,,,,,,,Meilland,,,True,Missing status,269
,,,Just Be!,,,,2025-11-01T00:00:00,,,,,,Dummen Orange,,,True,Missing status,270
,,,Lemontini,,,,,,,,,,David Kenny,,,True,Missing status,271
,,,Magnifiscent,,,,2025-11-01T00:00:00,,,,,,Rippetoe,,,True,Missing status,272
,,,Meredith,,,,,,,,,,Tom Carruth,,,True,Missing status,273
,,,Notre Dame,,,,2025-11-01T00:00:00,,,,,,Dummen Orange,,,True,Missing status,274
,,,Peach Swirl,,,,,,,,,,Texas Rose Venture,,,True,Missing status,275
,,,Peach Tea,,,,2025-11-01T00:00:00,,,,,,Rippetoe,,,True,Missing status,276
,,,Roberto Cappucci,,,,,,,,,,Enrico Barni,,,True,Missing status,277
,,,Perfume Breeze,,,,,,,,,,Enrico Barni,,,True,Missing status,278
,,,Pillow Fight,,,,2025-11-01T00:00:00,,,,,,Tom Carruth,,,True,Missing status,279
,,,Pink Miracle,,,,,,,,,,Rippetoe,,,True,Missing status,280
,,,Posh Life,,,,2025-11-01T00:00:00,,,,,,Rippetoe,,,True,Missing status,281
,,,Royal Amethyst,,,,2025-11-01T00:00:00,,,,,,Paul Francis DeVor,,,True,Missing status,282
,,,Secret,,,,2025-11-01T00:00:00,,,,,,Tom Carruth,,,True,Missing status,283
,,,Sol Desire,,,,,,,,,,Texas Rose Venture,,,True,Missing status,284
,,,Pacific Wonderland,,,,,,,,,,Garhart,,,True,Missing status,285
,,,Sonoran Desert,,,,2025-11-01T00:00:00,,,,,,Garhart,,,True,Missing status,286
,,,Strawberry Lemonade,,,,2025-11-01T00:00:00,,,,,,Rippetoe,,,True,Missing status,287
,,,Sun Angel,,,,2025-11-01T00:00:00,,,,,,Rippetoe,,,True,Missing status,288
,,,Ton of Bricks,,,,2025-11-01T00:00:00,,,,,,Pottschmidt,,,True,Missing status,289
,,,Victorian Secret,,,,2025-11-01T00:00:00,,,,,,Dummen Orange,,,True,Missing status,290
,,,White Lies,,,,,,,,,,Pottschmidt,,,True,Missing status,291
,,,Perfumery,,,,,,,,,,Tom Carruth,,,True,Missing status,292
,,,Sultry,,,,,,,,,,Dr. Keith W. Zary,,,True,Missing status,293
